tourney_date_dt,surface_norm,best_of,winner_id,loser_id
2021-01-04,Hard,3,103333,104665
2021-01-04,Hard,3,106329,105064
2021-01-04,Hard,3,200624,126952
2021-01-04,Hard,3,126205,106227
2021-01-04,Hard,3,111815,111574
2021-01-04,Hard,3,106216,110536
2021-01-04,Hard,3,126207,105385
2021-01-04,Hard,3,105933,111511
2021-01-04,Hard,3,123755,105413
2021-01-04,Hard,3,105023,111456
2021-01-04,Hard,3,126149,105992
2021-01-04,Hard,3,104545,106329
2021-01-04,Hard,3,200624,126205
2021-01-04,Hard,3,106328,144869
2021-01-04,Hard,3,126207,106216
2021-01-04,Hard,3,128034,200624
2021-01-04,Hard,3,128034,106328
2021-01-04,Hard,3,200624,111815
2021-01-04,Hard,3,106328,126149
2021-01-04,Hard,3,111815,105173
2021-01-04,Hard,3,111815,126207
2021-01-04,Hard,3,128034,105933
2021-01-04,Hard,3,200624,104545
2021-01-04,Hard,3,106328,106426
2021-01-04,Hard,3,126149,105023
2021-01-04,Hard,3,128034,123755
2021-01-04,Hard,3,105933,103333
2021-01-05,Hard,3,105676,105882
2021-01-05,Hard,3,105526,126409
2021-01-05,Hard,3,104871,104926
2021-01-05,Hard,3,122330,106137
2021-01-05,Hard,3,126610,106220
2021-01-05,Hard,3,105932,123795
2021-01-05,Hard,3,200282,105932
2021-01-05,Hard,3,105676,105732
2021-01-05,Hard,3,122330,126610
2021-01-05,Hard,3,200282,105676
2021-01-05,Hard,3,200095,104897
2021-01-05,Hard,3,122330,104871
2021-01-05,Hard,3,200282,122330
2021-01-05,Hard,3,200282,202090
2021-01-05,Hard,3,104871,105526
2021-01-05,Hard,3,105882,200325
2021-01-05,Hard,3,105526,200303
2021-01-05,Hard,3,126610,144985
2021-01-05,Hard,3,200325,106210
2021-01-05,Hard,3,105676,200095
2021-01-05,Hard,3,200282,104291
2021-01-05,Hard,3,202090,104947
2021-01-05,Hard,3,123795,200390
2021-01-05,Hard,3,105932,105063
2021-01-05,Hard,3,105882,200175
2021-01-05,Hard,3,126409,144684
2021-01-05,Hard,3,104871,105430
2021-01-05,Hard,3,104926,202398
2021-01-05,Hard,3,122330,106099
2021-01-05,Hard,3,106137,106078
2021-01-05,Hard,3,106220,111513
2021-02-01,Hard,3,105916,106065
2021-02-01,Hard,3,106078,144750
2021-02-01,Hard,3,105216,111460
2021-02-01,Hard,3,105902,207830
2021-02-01,Hard,3,126205,111815
2021-02-01,Hard,3,105077,106425
2021-02-01,Hard,3,106186,132283
2021-02-01,Hard,3,200615,127339
2021-02-01,Hard,3,106302,106121
2021-02-01,Hard,3,144895,126207
2021-02-01,Hard,3,105575,111576
2021-02-01,Hard,3,206173,105379
2021-02-01,Hard,3,105155,111454
2021-02-01,Hard,3,126203,105948
2021-02-01,Hard,3,104871,104468
2021-02-01,Hard,3,106109,111456
2021-02-01,Hard,3,104527,105062
2021-02-01,Hard,3,105777,200615
2021-02-01,Hard,3,144895,105902
2021-02-01,Hard,3,200000,106078
2021-02-01,Hard,3,106210,105575
2021-02-01,Hard,3,105554,106218
2021-02-01,Hard,3,106432,106401
2021-02-01,Hard,3,104871,126203
2021-02-01,Hard,3,104527,106109
2021-02-01,Hard,3,144895,105777
2021-02-01,Hard,3,200000,106210
2021-02-01,Hard,3,105554,106432
2021-02-01,Hard,3,104871,104527
2021-02-01,Hard,3,200000,144895
2021-02-01,Hard,3,106432,200325
2021-02-01,Hard,3,106401,117358
2021-02-01,Hard,3,106218,105173
2021-02-01,Hard,3,105554,105155
2021-02-01,Hard,3,106218,111581
2021-02-01,Hard,3,105173,144707
2021-02-01,Hard,3,106401,124186
2021-02-01,Hard,3,117358,117360
2021-02-01,Hard,3,200325,104678
2021-02-01,Hard,3,105948,105430
2021-02-01,Hard,3,104468,111200
2021-02-01,Hard,3,104871,105227
2021-02-01,Hard,3,106210,106393
2021-02-01,Hard,3,111456,104755
2021-02-01,Hard,3,105062,106228
2021-02-01,Hard,3,105777,106302
2021-02-01,Hard,3,144895,105077
2021-02-01,Hard,3,105902,200005
2021-02-01,Hard,3,200000,105216
2021-02-01,Hard,3,106078,105916
2021-02-01,Hard,3,105575,106186
2021-02-01,Hard,3,106210,134770
2021-02-01,Hard,3,106109,106423
2021-02-01,Hard,3,200615,126205
2021-02-01,Hard,3,105554,200000
2021-02-01,Hard,3,105882,106329
2021-02-01,Hard,3,207989,105226
2021-02-01,Hard,3,105051,105643
2021-02-01,Hard,3,106329,126573
2021-02-01,Hard,3,111442,126149
2021-02-01,Hard,3,105732,202195
2021-02-01,Hard,3,106408,105870
2021-02-01,Hard,3,111453,124079
2021-02-01,Hard,3,104898,106293
2021-02-01,Hard,3,104655,104665
2021-02-01,Hard,3,105023,105967
2021-02-01,Hard,3,105882,106148
2021-02-01,Hard,3,111575,126845
2021-02-01,Hard,3,206173,105882
2021-02-01,Hard,3,106099,104312
2021-02-01,Hard,3,105815,105441
2021-02-01,Hard,3,105379,106034
2021-02-01,Hard,3,208013,106227
2021-02-01,Hard,3,126846,104229
2021-02-01,Hard,3,104660,126128
2021-02-01,Hard,3,122298,209262
2021-02-01,Hard,3,111794,111513
2021-02-01,Hard,3,104731,103852
2021-02-01,Hard,3,105649,106198
2021-02-01,Hard,3,126845,105613
2021-02-01,Hard,3,126952,105413
2021-02-01,Hard,3,104731,105649
2021-02-01,Hard,3,106331,136440
2021-02-01,Hard,3,124187,104660
2021-02-01,Hard,3,122298,111794
2021-02-01,Hard,3,206173,111575
2021-02-01,Hard,3,106329,111442
2021-02-01,Hard,3,105882,128034
2021-02-01,Hard,3,206173,200175
2021-02-01,Hard,3,111575,122298
2021-02-01,Hard,3,106329,207989
2021-02-01,Hard,3,128034,104655
2021-02-01,Hard,3,105882,122330
2021-02-01,Hard,3,200175,106099
2021-02-01,Hard,3,105554,104871
2021-02-01,Hard,3,122298,124187
2021-02-01,Hard,3,111442,106408
2021-02-01,Hard,3,207989,105676
2021-02-01,Hard,3,206173,126846
2021-02-01,Hard,3,111575,104731
2021-02-01,Hard,3,105379,208013
2021-02-01,Hard,3,106099,105815
2021-02-01,Hard,3,200175,126952
2021-02-01,Hard,3,105882,105023
2021-02-01,Hard,3,122330,106331
2021-02-01,Hard,3,128034,111453
2021-02-01,Hard,3,106408,105932
2021-02-01,Hard,3,111442,105732
2021-02-01,Hard,3,106329,105051
2021-02-01,Hard,3,104655,104898
2021-02-02,Hard,3,126610,104792
